Date,PST,Outflow
19961130,0000,657
19961201,0000,656
19961202,0000,551
19961203,0000,697
19961204,0000,303
19961205,0000,305
19961206,0000,308
19961207,0000,300
19961208,0000,300
19961209,0000,506
19961210,0000,500
19961211,0000,408
19961212,0000,450
19961213,0000,625
19961214,0000,654
19961215,0000,766
19961216,0000,628
19961217,0000,616
19961218,0000,614
19961219,0000,562
19961220,0000,605
19961221,0000,614
19961222,0000,616
19961223,0000,609
19961224,0000,609
19961225,0000,613
19961226,0000,615
19961227,0000,616
19961228,0000,682
19961229,0000,3166
19961230,0000,3937
19961231,0000,3870
19970101,0000,6311
19970102,0000,6333
19970103,0000,6326
19970104,0000,6194
19970105,0000,6314
19970106,0000,6238
19970107,0000,6316
19970108,0000,6274
19970109,0000,6318
19970110,0000,6319
19970111,0000,6322
19970112,0000,6317
19970113,0000,6318
19970114,0000,6320
19970115,0000,6315
19970116,0000,6313
19970117,0000,6298
19970118,0000,6322
19970119,0000,6313
19970120,0000,6316
19970121,0000,6316
19970122,0000,6331
19970123,0000,6345
19970124,0000,6324
19970125,0000,6324
19970126,0000,6336
19970127,0000,6319
19970128,0000,6318
19970129,0000,6318
19970130,0000,6319
19970131,0000,6321
19970201,0000,6265
19970202,0000,6332
19970203,0000,6320
19970204,0000,6318
19970205,0000,6301
19970206,0000,5517
19970207,0000,3907
19970208,0000,3612
19970209,0000,3245
19970210,0000,2625
19970211,0000,2141
19970212,0000,1809
19970213,0000,1516
19970214,0000,1753
19970215,0000,1721
19970216,0000,1905
19970217,0000,1314
19970218,0000,1190
19970219,0000,1182
19970220,0000,1271
19970221,0000,1258
19970222,0000,1277
19970223,0000,1295
19970224,0000,1251
19970225,0000,1406
19970226,0000,2163
19970227,0000,1247
19970228,0000,1288
19970301,0000,1733
19970302,0000,1464
19970303,0000,1645
19970304,0000,1788
19970305,0000,2307
19970306,0000,2364
19970307,0000,2128
19970308,0000,798
19970309,0000,621
19970310,0000,880
19970311,0000,777
19970312,0000,861
19970313,0000,831
19970314,0000,828
19970315,0000,300
19970316,0000,300
19970317,0000,300
19970318,0000,300
19970319,0000,300
19970320,0000,300
19970321,0000,300
19970322,0000,300
19970323,0000,314
19970324,0000,785
19970325,0000,300
19970326,0000,301
19970327,0000,300
19970328,0000,300
19970329,0000,300
19970330,0000,300
19970331,0000,300
19970401,0000,1134
19970402,0000,1245
19970403,0000,1247
19970404,0000,1573
19970405,0000,1462
19970406,0000,1972
19970407,0000,476
19970408,0000,1139
19970409,0000,1013
19970410,0000,799
19970411,0000,930
19970412,0000,877
19970413,0000,300
19970414,0000,1048
19970415,0000,727
19970416,0000,981
19970417,0000,2599
19970418,0000,2402
19970419,0000,2996
19970420,0000,2636
19970421,0000,2166
19970422,0000,2181
19970423,0000,300
19970424,0000,300
19970425,0000,1857
